"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"Nyqwan Murray","WR","Florida State",191,4.63,34,8,113,7.2,4.4,"0",70,"WR"
"Oli Udoh","OT","Elon",323,5.05,28.5,26,105,7.88,5.05,"0",77,"OLINE"
"Oshane Ximines","EDGE","Old Dominion",253,4.78,34,24,118,7.13,4.57,"1",75,"DLINE"
"Paul Adams","OT","Missouri",317,5.18,27,16,103,7.68,4.74,"0",78,"OLINE"
"Phil Haynes","OL","Wake Forest",322,5.2,31,33,108,7.76,4.95,"1",76,"OLINE"
"Qadree Ollison","RB","Pittsburgh",228,4.58,29.5,19,114,7.53,4.31,"1",73,"RB"
"Rashan Gary","DL","Michigan",277,4.58,38,26,120,7.26,4.29,"1",76,"DLINE"
"Renell Wren","DL","Arizona State",318,5.01,32,30,118,7.65,4.53,"1",77,"DLINE"
"Riley Ridley","WR","Georgia",199,4.58,30.5,13,124,7.22,4.28,"1",73,"WR"
"Rock Ya-Sin","CB","Temple",192,4.51,39.5,18,120,7.31,4.31,"1",72,"DB"
"Ryan Bates","OL","Penn State",306,5.09,27,28,102,7.45,4.53,"0",76,"OLINE"
"Ryquell Armstead","RB","Temple",220,4.45,30,22,114,7.02,4.29,"1",71,"RB"
"Sione Takitaki","LB","BYU",238,4.63,37,24,125,7.21,4.28,"1",73,"LB"
"Stanley Morgan","WR","Nebraska",202,4.53,38.5,14,125,6.78,4.13,"0",72,"WR"
"Sutton Smith","EDGE","Northern Illinois",233,4.69,31.5,25,118,6.75,4.32,"1",72,"DLINE"
"T.J. Hockenson","TE","Iowa",251,4.7,37.5,17,123,7.02,4.18,"1",77,"TE"
"Terry Beckner","DL","Missouri",296,5.19,24.5,28,98,7.97,4.82,"1",76,"DLINE"
"Terry McLaurin","WR","Ohio State",208,4.35,37.5,18,125,7.01,4.15,"1",72,"WR"
"Travis Homer","RB","Miami (FL)",201,4.48,39.5,17,130,7.07,4.31,"1",70,"RB"
"Trayveon Williams","RB","Texas A&M",206,4.51,33,19,121,7.44,4.44,"1",68,"RB"
"Trevon Wesco","TE","West Virginia",267,4.89,31,24,117,7.18,4.38,"1",75,"TE"
"Trey Pipkins","OT","Sioux Falls",309,5.12,33.5,16,114,7.61,4.7,"1",78,"OLINE"
"Trysten Hill","DL","Central Florida",308,5.04,35,28,115,7.7,4.38,"1",75,"DLINE"
"Tyler Roemer","OT","San Diego State",312,5.21,30.5,18,108,7.75,4.76,"0",78,"OLINE"
"Tytus Howard","OT","Alabama State",322,5.05,29.5,21,103,8.34,4.87,"1",77,"OLINE"
"Ugo Amadi","S","Oregon",199,4.51,32.5,18,115,7.21,4.19,"1",69,"DB"
"Will Harris","S","Boston Col.",207,4.41,36.5,20,123,6.91,4.12,"1",73,"DB"
"William Sweet","OT","North Carolina",313,5.27,30.5,23,111,8.01,5,"0",78,"OLINE"
"Wyatt Ray","EDGE","Boston Col.",257,4.83,34,25,118,7.34,4.31,"0",75,"DLINE"
"Zach Allen","DL","Boston Col.",281,5,32,24,112,7.34,4.36,"1",76,"DLINE"
"Zach Gentry","TE","Michigan",265,4.9,29.5,12,110,7.4,4.53,"1",80,"TE"
"Zedrick Woods","S","Mississippi",205,4.29,34.5,19,122,7,4.15,"0",71,"DB"
"A.J. Epenesa","DL","Iowa",275,5.04,32.5,17,117,7.34,4.46,"1",77,"DLINE"
"Aaron Parker","WR","Rhode Island",209,4.57,26.5,12,112,6.94,4.23,"0",74,"WR"
"Adam Trautman","TE","Dayton",255,4.8,34.5,18,114,6.78,4.27,"1",77,"TE"
"Alex Taylor","OL","South Carolina State",308,5.09,25,21,116,7.77,4.79,"0",80,"OLINE"
"Alohi Gilman","S","Notre Dame",201,4.6,32,17,119,6.81,4.08,"1",70,"DB"
"Alton Robinson","DL","Syracuse",264,4.69,35.5,25,119,7.32,4.32,"1",75,"DLINE"
"Andrew Thomas","OL","Georgia",315,5.22,30.5,21,109,7.58,4.66,"1",77,"OLINE"
"Antonio Gandy-Golden","WR","Liberty",223,4.6,36,22,127,7.33,4.55,"1",76,"WR"
"Azur Kamara","LB","Kansas",245,4.59,28,13,121,7.2,4.46,"0",75,"LB"
"Bradlee Anae","DL","Utah",257,4.93,31,25,115,7.44,4.43,"1",75,"DLINE"
"Brian Herrien","RB","Georgia",209,4.62,38.5,18,126,7.12,4.4,"0",71,"RB"
"Brycen Hopkins","TE","Purdue",245,4.66,33.5,21,116,7.25,4.28,"1",76,"TE"
"C.J. O'Grady","TE","Arkansas",253,4.81,34,16,119,7.3,4.34,"0",76,"TE"
"Calvin Throckmorton","OL","Oregon",317,5.57,27,23,97,8.07,4.98,"0",77,"OLINE"
"Casey Toohill","LB","Stanford",250,4.62,39,17,126,7.08,4.21,"1",76,"LB"
"Cesar Ruiz","OL","Michigan",307,5.08,33,28,113,7.91,4.64,"1",75,"OLINE"
"Chapelle Russell","LB","Temple",236,4.69,35,21,121,7.38,4.41,"1",74,"LB"
"Charlie Heck","OL","North Carolina",311,5.16,28,21,112,8.02,4.86,"1",80,"OLINE"
"Charlie Taumoepeau","TE","Portland State",240,4.75,36.5,18,121,7,4.27,"0",74,"TE"
"Charlie Woerner","TE","Georgia",244,4.78,34.5,21,120,7.18,4.46,"1",77,"TE"
"Chauncey Rivers","DL","Mississippi State",262,4.97,30.5,20,106,7.33,4.7,"0",74,"DLINE"
"Chris Miller","S","Baylor",190,4.61,35.5,12,133,7.09,4.12,"0",71,"DB"
"Colby Parkinson","TE","Stanford",252,4.77,32.5,18,109,7.15,4.46,"1",79,"TE"
"Colton McKivitz","OL","West Virginia",306,5.35,26,20,106,7.87,5,"1",78,"OLINE"
"Cordel Iwuagwu","OL","TCU",309,5.22,27,25,94,8.03,4.87,"0",75,"OLINE"
